work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,Senior-level,Full-time,Data Engineer,63000,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Architect,250000,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Architect,63000,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Engineer,250000,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Engineer,63000,US,On-site,US,Medium
2022,Entry-level,Full-time,Analytics Engineer,130000,US,Hybrid,US,Large
2022,Senior-level,Full-time,Data Engineer,100000,US,On-site,US,Large
2022,Senior-level,Full-time,Data Engineer,80000,US,On-site,US,Large
2022,Senior-level,Full-time,Data Scientist,160000,US,On-site,US,Large
2022,Senior-level,Full-time,Data Scientist,100000,US,On-site,US,Large
2022,Senior-level,Full-time,Data Specialist,221300,US,Remote,US,Large
2022,Senior-level,Full-time,Data Specialist,148700,US,Remote,US,Large
2022,Entry-level,Full-time,Machine Learning Engineer,30000,GB,Remote,GB,Large
2022,Entry-level,Full-time,Data Analyst,28703,FR,Hybrid,FR,Medium
2022,Medium-level,Full-time,Data Engineer,92900,GB,On-site,GB,Medium
2022,Medium-level,Full-time,Data Engineer,62770,GB,On-site,GB,Medium
2022,Medium-level,Full-time,Data Scientist,61660,DE,Remote,DE,Small
2022,Senior-level,Full-time,Data Science Manager,249260,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Science Manager,185400,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Engineer,170000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Engineer,130000,US,Remote,US,Medium
2022,Medium-level,Full-time,Data Scientist,81601,GB,Hybrid,GB,Medium
2022,Senior-level,Full-time,Data Analyst,128875,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Analyst,93700,US,Remote,US,Medium
2022,Senior-level,Full-time,Machine Learning Engineer,180000,US,Remote,US,Medium
2022,Senior-level,Full-time,Machine Learning Engineer,100000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Analyst,136260,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Analyst,109280,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Scientist,160000,US,Remote,US,Large
2022,Senior-level,Full-time,Data Scientist,92000,US,Remote,US,Large
2022,Senior-level,Full-time,Data Engineer,200000,US,Remote,US,Medium
